Code,Species,Number,Family,Genus.species,Repro.subst,Repro.behav,Wtr.clmn,Thermal,Trophic,Trophic.SE,Trophic.category,Max.TL,Age.mat,Longevity,Max.fecund,Length.spawn,Spawn.period,Flow,Substrate,Stream.size,Shape.factor,Swim.factor,Gape,Dors.H,Dors.L,Anal.H,Anal.L,Head.L,Head.D
SHOV,Shovelnose sturgeon,41,Acipenseridae,Scaphirhynchus platorynchus,lithopelagophilic,Open,Open,Warm,3.5,0.3,PISC_INV,100,6,45,50000,2,Spring-Summer,Med,sand-gravel,med-large,11.59,0.13,12.21,0.06,0.1,0.04,0.07,0.23,0.06
SMBUF,Smallmouth buffalo,42,Catostomidae,Ictiobus bubalus,phytophilic,Open,Open,Warm,3,0.39,HERB_INV,112,2,17.5,525000,3.5,Spring,SM,vegetative,med-large,3.44,0.39,8.9,0.208,0.295,0.19,0.085,0.21,0.13
SMM,Suckermouth minnow,43,Cyprinidae,Phenacobius mirabilis,lithophilic,Open,Benthic,Warm,3,0.2,HERB_INV,12,2,4.5,2000,1.5,Summer,MF,generalist,generalist,5.96,0.39,4.4,0.164,0.116,0.129,0.078,0.19,0.11
SRH,Shorthead redhorse,44,Catostomidae,Moxostoma macrolepidotum,lithophilic,Open,Open,Warm,3.1,0.41,HERB_INV,75,3.5,12,44000,1.25,Spring,SMF,generalist,med-large,4.45,0.395851064,5.25,0.206636364,0.170402597,0.18938961,0.082201299,0.213636364,0.134675325
STC,Stonecat,45,Ictaluridae,Noturus flavus,speleophilic,Nester,Benthic,Warm,3.2,0.46,HERB_INV,31,3,8,1200,4,Spring-Summer,MF,sand-gravel,generalist,5.375,0.635,10.4,0.177,0.112611111,0.188777778,0.183444444,0.247777778,0.1
STR,Stoneroller,46,Cyprinidae,Campostoma anomalum,lithophilic,Hider,Benthic,Warm,2,0,HERB_INV,22,2.5,5,4800,2.5,Spring,MF,gravel,generalist,5.16,0.485,3.726,0.1445,0.088,0.105,0.091,0.21,0.115
TPKSH,Topeka shiner,47,Cyprinidae,Notropis topeka,lithophilic,Hider,Open,Warm,2.9,0.3,INV,7.6,2,3,900,2.5,Summer,S,sand-gravel,small,5.29,0.36,2.9,0.197,0.102,0.152,0.084,0.21,0.11
WHC,White Crappie,48,Centrarchidae,Pomoxis annularis,ariadnophilic,Nester,Benthic,Warm-Cool,4.4,0.6,PISC_INV,53,1.5,10,326000,2.25,Spring,S,soft-sand,med-large,3.54,0.44,5.8,0.158,0.234,0.182,0.247,0.27,0.14
WHS,White Sucker,49,Catostomidae,Catostomus commersoni ,lithopelagophilic,Open,Open,Cool,2.8,0.2,HERB_INV,64,3,8,50000,1.75,Spring,SMF,generalist,generalist,5.2625,0.416140351,6.533333333,0.158111111,0.157777778,0.133,0.078666667,0.234444444,0.133333333
WSM,Western Silvery Minnow,50,Cyprinidae,Hybognathus nuchalis,pelagophilic,Open,Open,Warm,2,0,HERB_INV,12,1.5,3,6600,2,Spring-Summer,S,soft,med-large,3.727272727,0.386363636,6,0.195121951,0.113821138,0.105691057,0.081300813,0.211382114,0.113821138
YBH,Yellow bullhead,51,Ictaluridae,Ameirus natalis,speleophilic,Nester,Benthic,Warm,3.3,0.46,GEN,47,2.5,7,7000,1.5,Spring,S,generalist,generalist,4.75,0.57,17.7,0.155,0.081,0.118,0.251,0.24,0.11
